,X,Y,Z
409,157.071,45.847,
410,157.076,44.963,
411,157.12,44.238,
412,157.244,43.522,
413,157.445,42.824,
414,157.844,42.895,
415,158.121,42.247,
416,158.469,41.635,
417,158.884,41.066,
418,159.36,40.548,
419,159.893,40.088,
420,160.474,39.691,
421,161.097,39.362,
422,161.752,39.106,
423,162.433,38.926,
424,163.13,38.824,
425,163.676,38.8,
426,166.148,38.8,
427,166.851,38.84,
428,167.545,38.959,
429,168.22,39.157,
430,168.869,39.429,
431,169.483,39.774,
432,170.054,40.185,
433,170.575,40.659,
434,171.039,41.189,
435,171.439,41.768,
436,171.771,42.389,
437,172.031,43.043,
438,172.215,43.723,
439,172.321,44.419,
440,172.348,44.977,
441,172.353,46.358,
442,172.346,47.537,
443,172.302,48.239,
444,172.178,48.932,
445,171.977,49.607,
446,171.701,50.255,
447,171.352,50.866,
448,170.937,51.435,
449,170.46,51.953,
450,169.928,52.413,
451,169.346,52.81,
452,168.724,53.139,
453,168.068,53.395,
454,167.387,53.574,
455,166.691,53.676,
456,166.146,53.7,
457,163.68,53.7,
458,162.977,53.66,
459,162.283,53.541,
460,161.608,53.343,
461,160.959,53.071,
462,160.345,52.726,
463,159.774,52.315,
464,159.253,51.841,
465,158.789,51.311,
466,158.389,50.732,
467,158.057,50.111,
468,157.797,49.457,
469,157.613,48.777,
470,157.507,48.081,
471,157.48,47.535,
472,157.471,45.849,
473,157.476,44.965,
474,157.52,44.262,
475,157.643,43.569,
476,157.844,42.895,
477,158.244,42.967,
478,158.519,42.345,
479,158.866,41.759,
480,159.279,41.218,
481,159.753,40.728,
482,160.28,40.298,
483,160.855,39.932,
484,161.468,39.637,
485,162.112,39.415,
486,162.777,39.27,
487,163.676,39.2,
488,166.148,39.2,
489,166.828,39.24,
490,167.498,39.359,
491,168.15,39.556,
492,168.774,39.828,
493,169.362,40.172,
494,169.906,40.582,
495,170.397,41.053,
496,170.831,41.578,
497,171.2,42.15,
498,171.499,42.762,
499,171.724,43.404,
500,171.873,44.069,
501,171.948,44.978,
502,171.953,46.355,
503,171.946,47.534,
504,171.902,48.214,
505,171.779,48.884,
506,171.578,49.534,
507,171.302,50.157,
508,170.955,50.743,
509,170.542,51.284,
510,170.068,51.773,
511,169.54,52.203,
512,168.966,52.568,
513,168.352,52.864,
514,167.709,53.086,
515,167.043,53.23,
516,166.146,53.3,
517,163.68,53.3,
518,163,53.26,
519,162.33,53.141,
520,161.678,52.944,
521,161.054,52.672,
522,160.466,52.328,
523,159.922,51.918,
524,159.431,51.447,
525,158.997,50.922,
526,158.628,50.35,
527,158.329,49.738,
528,158.104,49.096,
529,157.955,48.431,
530,157.88,47.532,
531,157.871,45.851,
532,157.876,44.967,
533,157.92,44.288,
534,158.043,43.618,
535,158.244,42.967,
536,158.443,43.669,
537,158.643,43.043,
538,158.918,42.446,
539,159.263,41.887,
540,159.674,41.375,
541,160.144,40.915,
542,160.666,40.517,
543,161.233,40.184,
544,161.836,39.923,
545,162.466,39.737,
546,163.114,39.629,
547,163.676,39.6,
548,166.148,39.6,
549,166.804,39.64,
550,167.45,39.759,
551,168.077,39.956,
552,168.675,40.228,
553,169.236,40.57,
554,169.751,40.978,
555,170.213,41.445,
556,170.614,41.965,
557,170.95,42.529,
558,171.214,43.131,
559,171.404,43.76,
560,171.515,44.407,
